Facilityid,Sitenumber,Facilityname,Facilityaddress1,Facilityaddress2,Facilitycity,Facilityzip,Facilitycounty,Casemanager,Section,Casedescription,Cause,Discoverydate,Currentstatus,Productreleased,Company,Ownercontact,Caccontact,Contacttitle,Caccompany,Howdiscovered
5191213,2,Harpeth Valley Utilities Dist.,5910 River Road,,Nashville,37209,Davidson,Katrina Hunter,FO,Tank removal,,,1a Completed Tank Closure,,,,,,,
5191214,1,Harpeth Valley Utilities District,1068 Todd Pries Drive,,Nashville,37221,Davidson,Katrina Hunter,FO,tank closure (in place),,,1a Completed Tank Closure,,,,,,,
5191216,1,WEST NASHVILLE PLANT,711 BASSWOOD DR,,Nashville,37209,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,"HOOVER COMPANY, INC.", ,,,,
5191217,1,JIM DANDY MKT 35,4401 HARDING RD,,Nashville,37205,Davidson,John Wright,FO,,7 Unknown,MAR-07-1995,8 Case Closed,,JIM DANDY MARKETS, , ,,IT Corporation,7 Environmental Audit
5191217,2,Mapco Express #3314,4401 Harding Road,,Nashville,37205,Davidson,Drew Storm,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,,,,,,
5191219,1,KWIK SAK 36,4820 LEBANON RD,,Hermitage,37076,Davidson,John Wright,FO,,7 Unknown,OCT-07-1994,8 Case Closed,,KWIK SAK INC, , ,,SPATCO Environmental,7 Environmental Audit
5191219,2,KWIK SAK #615,4890 Lebanon Road,,Hermitage,37076,Davidson,Jim Barnes,FO,Dec2006 Jan 2007 inconclusives,3 Human Error,FEB-21-2007,8 Case Closed,,,,,,,2 Release Detection
5191219,3,KWIK SAK #615,4890 Lebanon Road,,Hermitage,37076,Davidson,Jim Barnes,FO,Jan- Feb 2007 inconclusives,3 Human Error,MAR-12-2007,8 Case Closed,,,,,,,2 Release Detection
5191219,4,KWIK SAK #615,4890 Lebanon Road,,Hermitage,37076,Davidson,Jim Barnes,FO,,7 Unknown,APR-16-2007,8 Case Closed,,,,,,,2 Release Detection
5191220,1,JIM DANDY MKT 10,680  N MAIN ST,,Goodlettsville,37072,Davidson,John Wright,FO,,7 Unknown,MAR-22-1991,8 Case Closed,,JIM DANDY MARKETS, , ,,SPATCO Environmental,1 At Closure
5191221,1,JIM DANDY MKT 16,3053 DICKERSON RD,,Nashville,37207,Davidson,John Wright,FO,,7 Unknown,MAR-13-1995,8 Case Closed,,JIM DANDY MARKETS, , ,,"SEMS, Inc.(Southern Envir. Mgmt.&Spec)",7 Environmental Audit
5191221,2,Mapco Express #3304,3053 Dickerson Road,,Nashville,37207,Davidson,Drew Storm,FO,Line Closure & Dispensers (Removal),,,1d Completed Line Closure,,,,Greg Stephenson,,"PM Environmental, Inc.",
5191222,1,TEXACO FOOD MART 101,5851 OLD HICKORY BLVD,,Hermitage,37076,Davidson,John Wright,FO,,8 Other,JAN-20-2004,8 Case Closed,,J B WEIMER INC, ,,,,8 Other
5191224,1,NASHVILLE SWITCH,338 WOODYCREST AVE,,Nashville,37210,Davidson,John Wright,FO,,7 Unknown,JAN-15-1999,8 Case Closed,,US SPRINT, ,,,,3 On-site Impact
5191226,1,MADISON PLANT,35 EDENWALD RD,,Madison,37115,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,"HOOVER COMPANY, INC.", ,,,,
5191228,1,STAR ENTERPRISE,799 OLD HICKORY,,Brentwood,37027,Davidson,John Wright,FO,,7 Unknown,OCT-17-1987,8 Case Closed,,STAR ENTERPRISE, , ,,Ogden Environmental & Energy Services,8 Other
5191229,1,OLD METRO AIRPORT,P O BOX 17332,,Nashville,37217,Davidson,John Wright,FO,,2 Overfill,OCT-07-1986,8 Case Closed,,AIRCRAFT SERVICE INTERNATIONAL, ,,,,3 On-site Impact
5191229,2,OLD METRO AIRPORT,Air Freight Boulevard,,Nashville,37217,Davidson,Drew Storm,FO,AFP - Closed,,,8 Case Closed,,,, ,,"CMD Associates, Inc.*",
5191231,1,SUNBELT TRUCKING /NEELY COBLE,319 Fesslers Lane,,Nashville,37210,Davidson,John Wright,FO,tank closure,,,1a Completed Tank Closure,,SUNBELT TRUCKING /NEELY COBLE, ,,,,
5191232,1,Regal Auto Wash,2239 Gallatin Road North,,Madison,37115,Davidson,John Wright,FO,Closure,,,1a Completed Tank Closure,,"Regal Auto Wash XXIV Assoc., LLC", ,,,,
5191234,1,NASHBORO VILLAGE GOLF MAINTENANCE,2250 MURFREESBORO RD,,Nashville,37217,Davidson,John Wright,FO,,6 Mechanical Failure,AUG-04-1995,8 Case Closed,,NASHBORO VILLAGE LLC, , ,,SPATCO Environmental,3 On-site Impact
5191235,1,CONTRACT PACKAGING,1201 ANTIOCH PIKE,,Nashville,37211,Davidson,John Wright,FO,,,,8 Case Closed,,CONTRACT PACKAGING, ,,,,
5191236,1,OLD AMOCO STA,HERITAGE NISSAN,,Nashville,37211,Davidson,John Wright,FO,,4 Corrosion,MAR-01-1988,8 Case Closed,,OLD AMOCO STA., ,,,,4 Off-site Impact
5191239,1,PHILLIPS 66,WHITE BRIDGE RD,,Nashville,37209,Davidson,John Wright,FO,,7 Unknown,OCT-16-1986,8 Case Closed,,PHILLIPS 66, , ,,"ERM-Southeast, Inc.",8 Other
5191242,1,SO CENT BELL,THOMPSON LN,,Nashville,37211,Davidson,John Wright,FO,REFERED TO LUST  TRUST,7 Unknown,AUG-07-1991,8 Case Closed,,SOUTH CENTRAL BELL T, ,,,,3 On-site Impact
5191246,1,DALLAS & MAVIS CO,429 MYATT DRIVE,,Madison,37115,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,GALLATIN OIL CO, ,,,,
5191247,1,JACKSON'S AMOCO,839 PORTER RD,,Nashville,37206,Davidson,John Wright,FO,,7 Unknown,MAY-03-1995,8 Case Closed,,LELAND JACKSON, , ,,SPATCO Environmental,1 At Closure
5191248,1,MAPCO EXPRESS 3220,2825 NEW SMITH SPRINGS RD,,Nashville,37217,Davidson,John Wright,FO,,7 Unknown,AUG-26-1989,8 Case Closed,,MAPCO PETROLEUM INC, , ,,IT Corporation,7 Environmental Audit
5191249,1,COMMUNITY MKT,336 E TRINITY LN,,Nashville,37207,Davidson,John Wright,FO,,7 Unknown,FEB-12-1987,8 Case Closed,,ARTHUR H. MORELAND, ,,,,3 On-site Impact
5191252,1,TERRY'S QUICK STOP,5470 BUENA VISTA PIKE,,Whites Creek,37189,Davidson,John Wright,FO,,7 Unknown,,8 Case Closed,,TERRY KNEPPER, ,,,,
5191253,1,COMFUEL,2713 CLARKSVILLE HWY,,Nashville,37208,Davidson,John Wright,FO,Closure,,,1a Completed Tank Closure,,HILDRETH OIL CO, ,,,,
5191254,1,JOE SCALES,12th Avenue South,,Nashville,,Davidson,Susan Watts,LT - SL,Duplicate Fac ID # = 5191375,5 Pipe Failure,JUL-20-1988,8 Case Closed,,Joe Scales, , ,,"Roy F. Weston, Inc.-Oak Ridge Br. Off.",
5191264,1,MID-STATE AUTOMOTIVE DIST INC,485 CRAIGHEAD AVE,,Nashville,37204,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,MID-STATE AUTOMOTIVE, ,,,,
5191265,1,RED ARROW DELIVERY SER,500 MAPLELEAF DR,,Nashville,37210,Davidson,John Wright,FO,,7 Unknown,MAY-14-1997,8 Case Closed,,CANTRELL BROTHERS, ,,,,1 At Closure
5191268,1,WSMV-TV,5700 KNOB HILL,,Nashville,37209,Davidson,John Wright,FO,,7 Unknown,JUN-10-1998,8 Case Closed,,WSMV-TV, ,,,,1 At Closure
5191276,1,C O CHRISTIAN AND SONS CO,411 Foster St.,,Nashville,37207,Davidson,John Wright,FO,Perm. Closure - locating tank by excavating,,,1a Completed Tank Closure,,C O CHRISTIAN AND SONS CO, ,,,,
5191277,1,Avis Rent A Car-(Nashville Maint. Fac.),"Nashville International Airport, 121 Hangar Court ",,Nashville,37217,Davidson,Katrina Hunter,FO,,,,1a Completed Tank Closure,,,,Michael Schmitz,Mr.,Petroleum Equipment Company,
5191278,1,MILAN EXPRESS CO INC,825 VISCO DR,,Nashville,37210,Davidson,John Wright,FO,,7 Unknown,FEB-08-1996,8 Case Closed,,MILAN EXPRESS CO INC, , ,,"TVG Environmental, Inc.",1 At Closure
5191279,1,OLD HICKORY LUMBER/STRINGFELLOW,841 ROBINSON RD,,Old Hickory,37138,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,STRINGFELLOW LUMBER COMPANY, ,,,,
5191280,1,AMERICAN PAPER & TWINE CO,7149 CENTENNIAL BLVD,,Nashville,37209,Davidson,John Wright,FO,,7 Unknown,MAY-20-1998,8 Case Closed,,AMERICAN PAPER & TWIN, ,,,,1 At Closure
5191281,1,CITY OF GOODLETTSVILLE,215 CARTWRIGHT ST DEPT PUBLIC WK,,Goodlettsville,37072,Davidson,John Wright,FO,,7 Unknown,JUN-15-1999,8 Case Closed,,CITY OF GOODLETTSVILLE, ,,,,1 At Closure
5191283,1,AIRCO GASES,1008 WHITES CREEK PIKE,,Nashville,,Davidson,,Reimbursement,,,,8 Case Closed,,,,,,,
5191286,1,EAST SERVICE CENTER,941 DR RICHARD ADAMS DR,,Nashville,,Davidson,,Reimbursement,,,,8 Case Closed,,,,,,,
5191286,2,EAST SERVICE CENTER,941 Dr. Richard Adams Drive,,Nashville,37207,Davidson,John Wright,FO,Tank removals,,,1a Completed Tank Closure,,,,,,,
5191287,1,Metro Government Public Works Dp,740 S Fifth St,,Nashville,37207,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,Metro Govt - General, ,,,,
5191287,2,South Fifth Center,740 South 5th St.,,Nashville,37206,Davidson,John Wright,FO,"Water intrusion into 15,000 gal. gasoline tank",7 Unknown,OCT-19-2011,,,,,,,,2 Release Detection
5191287,3,South Fifth Center,740 South 5th St.,,Nashville,37206,Davidson,Katrina Hunter,FO,Suspected release - environmental impact,,SEP-18-2018,8 Case Closed,"Gasoline, Diesel, Jet Fuel, Kerosene",,,Linda Main,Ms.,"K S Ware & Associates, LLC",3 On-Site Impact
5191291,1,NASHVILLE GAS CO,665 MAINSTREAM DR,,Nashville,37228,Davidson,John Wright,FO,,,MAY-30-1996,8 Case Closed,,NASHVILLE GAS COMPANY, ,,,,
5191291,2,NASHVILLE GAS CO,665 MAINSTREAM DR,,Nashville,37228,Davidson,John Wright,FO,used oil tank overflowed Roto-rooter hit h20 line,3 Human Error,AUG-20-1999,8 Case Closed,,NASHVILLE GAS COMPANY, ,,,,8 Other
5191291,3,NASHVILLE GAS COMPNAY,665 Mainstream Drive,,Nashville,37228,Davidson,Katrina James,FO,Permanent closure (removal),,,1a Completed Tank Closure,,NASHVILLE GAS COMPANY,Buck Buchanan,,,,
5191296,1,BRENTWOOD SEWAGE PUMPING STA,OLD HICKORY BLVD & CHICKERING,,Nashville,37205,Davidson,John Wright,FO,,7 Unknown,APR-22-1996,8 Case Closed,,METRO WATER SERVICES, ,,,,1 At Closure
5191297,1,Hurricane Creek Sewage Station-H,Murfreesboro Road at Cty Line,,Nashville,37217,Davidson,John Wright,FO,Overfill to soil - didn't report in 72 hrs,2 Overfill,,8 Case Closed,,METRO WATER SERVICES, ,,,,3 On-site Impact
5191297,2,Hurricane Creek Sewage Station-H,Murfreesboro Road at Cty Line,,Nashville,37217,Davidson,Drew Storm,FO,Closure (Removal) Tank 1-A,,,1a Completed Tank Closure,,,,,,,
5191298,1,U S TRUCKING INC,1300 51ST AVE N,,Nashville,37209,Davidson,John Wright,FO,,7 Unknown,APR-08-1997,8 Case Closed,,Steve Moore, ,,,,1 At Closure
5191299,1,OLD DOMINION FREIGHT LINE,122 TREDCO DR,,Nashville,37210,Davidson,John Wright,FO,,7 Unknown,NOV-21-1994,8 Case Closed,,OLD DOMINION FREIGHTLINE, , ,,SPATCO Environmental,1 At Closure
5191300,1,ESTES EXPRESS LINES,317 Fesslers Lane,,Nashville,37211,Davidson,Drew Storm,FO,Tank Closure,,,1a Completed Tank Closure,,ESTES EXPRESS LINES,Curtis Carr,Ken Johnson,Mr.,"First Response, Inc.",
5191302,1,TREVECCA TOWERS INC,60 LESTER AVE,,Nashville,37210,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,TREVECCA TOWERS INC, ,,,,
5191302,2,"Trevecca Towers, Inc.",60 Lester Avenue,,Nashville,37210,Davidson,Katrina Hunter,FO,Permanent closure (in place),,,1a Completed Tank Closure,,,,Luke Patterson,Mr.,LP Environmental,
5191303,1,TOMMY'S DISTRIBUTING CO INC,1269 4th Avenue South,,Nashville,37210,Davidson,Drew Storm,FO,13 AFP - Tank Closure (in-place),,,1a Completed Tank Closure,,TOMMY'S DISTRIBUTING CO INC, , ,,"CMD Associates, Inc.*",
5191305,1,MUSIC VALLEY MKT,2717 MCGAVOCK PIKE,,Nashville,37214,Davidson,John Wright,FO,,7 Unknown,JUL-16-1997,8 Case Closed,,KIMBRO OIL COMPANY, ,,,,1 At Closure
5191307,1,Daily's 7119  (KIMBRO OIL 119),1406 CHARLOTTE AVE,,Nashville,37203,Davidson,John Wright,FO,,,,8 Case Closed,,KIMBRO OIL COMPANY, ,,,,
5191309,1,4120 Hillwood Shell,6601 Charlotte Avenue,,Nashville,37208,Davidson,Katrina Hunter,FO,UST System closure - removal,,,1a Completed Tank Closure,,,,,,,
5191310,1,FRANKLIN BRICK CO,3657 TROUSDALE DR,,Nashville,37204,Davidson,John Wright,FO,,7 Unknown,OCT-28-1997,8 Case Closed,,FRANKLIN BRICK COMPA, ,,,,1 At Closure
5191311,1,MDHA MECHANIC SHOP,1419 EIGHTH AVE N,,Nashville,37206,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,METRO DEVELOPMENT &, ,,,,
5191312,1,EATHERLY CONSTRUCTION CO,1000 LEBANON RD,,Nashville,37210,Davidson,John Wright,FO,OPEN CASE - REFERRED TO ENFORCEMENT,,,1a Completed Tank Closure,,EATHERLY CONSTRUCTION COMPANY, ,,,,
5191313,1,ACE DRIVE IN MKT,808 BRADFORD AVE,,Nashville,37204,Davidson,John Wright,FO,,7 Unknown,NOV-03-1999,8 Case Closed,,ALI BEKI, ,,,,1 At Closure
5191314,1,SHELBY GOLF COURSE MAINT BARN,20TH & FATHERLAND ST,,Nashville,37206,Davidson,John Wright,FO,,7 Unknown,APR-22-1996,8 Case Closed,,METROGOVT of Nashville & Davidson Co, , ,,"ATEC Associates, Inc.",1 At Closure
5191315,1,TED RHODES GOLF COURSE MAINT BAR,2400 METROCENTER BLVD,,Nashville,37228,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,METRO GOVT of Nashville, , ,,"ATEC Associates, Inc.",
5191318,1,CENTENNIAL PARK,2500 WEST END AVE,,Nashville,37203,Davidson,John Wright,FO,,7 Unknown,JUN-20-1995,8 Case Closed,,Mr. Michael D. Morris, , ,,"ATEC Associates, Inc.",1 At Closure
5191320,1,JIM DANDY MKT 51,626 OLD HICKORY BLVD,,Nashville,37209,Davidson,John Wright,FO,,7 Unknown,MAR-15-1995,8 Case Closed,,JIM DANDY MARKETS, , ,,IT Corporation,7 Environmental Audit
5191321,1,PERCY WARNER PARK,2500 OLD HICKORY BLVD,,Nashville,37221,Davidson,John Wright,FO,,7 Unknown,MAR-23-1995,8 Case Closed,,METRO Gov. of Nashville & Davidson Co., , ,,"ATEC Associates, Inc.",1 At Closure
5191322,1,MGNDC-CANE RIDGE PARK,Battle Road and Burkitt Road,,Antioch,37013,Davidson,John Wright,FO,Closure,,,1a Completed Tank Closure,,METROPOLITAN BD OF PARKS AND REC, ,,,,
5191324,1,CEDAR HILL PARK,Dickerson Road At Old Hickory Bl,,Nashville,37207,Davidson,John Wright,FO,Closure,,,8 Case Closed,,METROPOLITAN BD OF PARKS AND REC, ,,,,
5191325,1,KEEBLER CO,3014 OWENS DR,,Antioch,37013,Davidson,John Wright,FO,,7 Unknown,JUL-14-1997,8 Case Closed,,KEEBLER COMPANY, ,,,,1 At Closure
5191326,1,MAC'S MARKET,1301 Gallatin Road,,Nashville,37206,Davidson,John Wright,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,WILLIAM A. MCWHIRTER, ,Dave Vick,Mr.,Hollingsworth Oil Company,
5191326,2,Mac's Drive Inn Market,1301 Gallatin Road,,Nashville,37206,Davidson,Katrina Hunter,FO,Tank closure (in place),,,1a Completed Tank Closure,,,,,,,
5191329,1,LOJAC ENTERPRISES INC,3552 HERMITAGE INDUSTRIAL DR,,Hermitage,37076,Davidson,John Wright,FO,,7 Unknown,MAR-04-1993,8 Case Closed,,"LOJAC ENTERPRISES, INC.", , ,,"TVG Environmental, Inc.",1 At Closure
5191331,1,JACK WEHBY WAREHOUSE & DRAYAGE I,3607 TROUSDALE DR,,Nashville,37204,Davidson,John Wright,FO,,,,8 Case Closed,,JACK WEHBY WAREHOUSE, ,,,,
5191333,1,NATIONAL CAR RENTAL SYSTEM INC,760 HANGAR LN,,Nashville,37217,Davidson,John Wright,FO,,8 Other,JUL-22-1998,8 Case Closed,,NATIONAL CAR RENTAL, ,,,,8 Other
5191333,2,National Car Rental ,760 Hangar Lane,,Nashville,37217,Davidson,Drew Storm,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,,,,,,
5191334,1,NATIONAL CAR RENTAL SYSTEM,Quick Turn Around Facility,,Nashville,37217,Davidson,Drew Storm,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,Vanguard Car Rental USA Inc., ,Ron Dow,,"ENSAFE, Inc.",
5191335,1,Porter Road Citgo,834 Porter Road,,Nashville,37206,Davidson,Katrina Hunter,FO,Modified Site Check - Dispenser,,JUN-29-2017,0a Suspected Release - Closed,"Diesel, Jet Fuel, Kerosene",,,,,,3 On-Site Impact
5191336,1,FOUR CORNERS MARINA,4027 LAVERGNE COUCHVILLE,,Antioch,37013,Davidson,John Wright,FO,Referred to Enforcement,1 Spill,JUL-16-2002,8 Case Closed,,JAMES M FISHER JR, ,,,,4 Off-site Impact
5191336,2,Four Corners Marina,4027 Lavergne Couchville,,Antioch,37013,Davidson,Katrina Hunter,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,,,,,,
5191338,1,THE BAILEY COMPANY INC,501 COWAN ST,,Nashville,37207,Davidson,John Wright,FO,,7 Unknown,OCT-01-1991,8 Case Closed,,"THE BAILEY CO.,INC.", ,,,,1 At Closure
5191339,1,MEADOWS EXCAVATING,1326 WHITES CREEK PIKE,,Nashville,37207,Davidson,John Wright,FO,,7 Unknown,NOV-29-1995,8 Case Closed,,MEADOWS EXCAVATING, ,,,,3 On-site Impact
5191340,1,DARRELL'S FOOD MKT,2301 RIVERSIDE DR,,Nashville,37216,Davidson,John Wright,FO,compliance,7 Unknown,,8 Case Closed,,WALTER JOHNSON, ,,,,
5191342,1,METROPOLITAN NASH BORDEAUX HOSP,1414 County Hospital Road,,Nashville,37218,Davidson,John Wright,FO,Tank removals,,,1a Completed Tank Closure,,METROPOLITAN NASH BORDEAUX HOSP, ,,,,
5191346,1,BUCKLAND BUILDING SYSTEMS INC,1101 Bell Grimes Lane,,Nashville,37210,Davidson,John Wright,FO,Closure,,,1a Completed Tank Closure,,JAMES WILDE, ,,,,
5191347,1,A & S ELECTRIC INC,1200 4TH AVE N,,Nashville,37208,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,A & S ELECTRIC INC, ,,,,
5191348,1,RATLIFF TRUCKING CORP,700 FESSEY PARK RD,,Nashville,37204,Davidson,John Wright,FO,Soil treatment by aeration.,7 Unknown,APR-14-1993,8 Case Closed,,CATO BASS, ,,,,1 At Closure
5191348,2,RATLIFF TRUCKING CORP,700 FESSEY PARK RD,,Nashville,37204,Davidson,John Wright,FO,,7 Unknown,JAN-21-1994,8 Case Closed,,CATO BASS, ,,,,1 At Closure
5191349,1,CITY OF BERRYHILL,698 THOMPSON AVE,,Nashville,37204,Davidson,John Wright,FO,,,,8 Case Closed,,CITY OF BERRY HILL, ,,,,
5191351,1,WEST SERVICE CTR,3800 CHARLOTTE AVE,,Nashville,37209,Davidson,John Wright,FO,,5 Pipe Failure,JUN-28-1994,8 Case Closed,,METRO GOVT of Nashville & Davidson Co, , ,,"ATEC Associates, Inc.",1 At Closure
5191351,2,WEST SERVICE CENTER,3800 Charlotte Avenue,,Nashville,37210,Davidson,John Wright,FO,"Dispenser damaged, diesel fuel",1 Spill,JUL-25-2007,8 Case Closed,,,,,,,3 On-site Impact
5191351,3,West Service Center,3800 Charlotte Avenue,,Nashville,37210,Davidson,Drew Storm,FO,Tank Closure (Removal) ,,,1a Completed Tank Closure,,,,,,,
5191352,1,West Police Precinct,6710 Charlotte Pike,,Nashville,37209,Davidson,Katrina James,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,,,,,,
5191353,1,MOTOR POOL,43 PEABODY ST MOTOR POOL,,Nashville,37210,Davidson,John Wright,FO,,6 Mechanical Failure,MAY-31-1994,8 Case Closed,,METRO GOVT of Nashville & Davidson Co, , ,,"ATEC Associates, Inc.",3 On-site Impact
5191353,2,PEABODY SERVICE CENTER,43 Peabody St. Motor Pool,,Nashville,37210,Davidson,John Wright,FO,Closure of two remaining tanks,,,1a Completed Tank Closure,,,,,,,
5191355,1,METRO GOV'T-GENERAL SERVICES,E CENTER-TRINITY LN,,Nashville,37207,Davidson,John Wright,FO,,7 Unknown,SEP-21-1994,8 Case Closed,,METRO GOVT of Nashville & Davidson Co, , ,,"ATEC Associates, Inc.",1 At Closure
5191356,1,T & N MKT,1200 PORTER RD,,Nashville,37206,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,Robert Ausbrooks, ,,,,
5191358,1,H G HILL REALTY CO,2995 SIDCO DRIVE,,Nashville,,Davidson,,Reimbursement,,,,8 Case Closed,,,,,,,
5191362,1,JIM DANDY MKT 43,710 STEWARTS FERRY PIKE,,Nashville,37214,Davidson,John Wright,FO,,7 Unknown,MAR-15-1995,8 Case Closed,,JIM DANDY MARKETS, , ,,"ATEC Associates, Inc.",7 Environmental Audit
5191364,1,Buy and Save Market,201 Glenrose Avenue,,Nashville,37210,Davidson,Katrina Hunter,FO,ATG,,,0a Suspected Release - Closed,,,,,,,
5191364,2,Buy and Save Market,201 Glenrose Avenue,,Nashville,37210,Davidson,Katrina Hunter,FO,ATG,,,0a Suspected Release - Closed,,,,,,,
5191367,1,HERMITAGE GOLF COURSE,3939 OLD HICKORY BLVD,,Old Hickory,37138,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,HERMITAGE GOLF COURS, ,,,,
5191368,1,RICHLAND COUNTRY CLUB,One Club Drive,,Nashville,37215,Davidson,Drew Storm,FO,Tank closure (removal),,,1a Completed Tank Closure,,RICHLAND COUNTRY CLUB, ,,,,
5191369,1,FAST-N- GAS,3050 BRICK CHURCH PIKE,,Nashville,37207,Davidson,John Wright,FO,,7 Unknown,JAN-06-1992,8 Case Closed,,NATHAN WALL, , ,,Petrotec,4 Off-site Impact
5191371,1,VIACOM CABLEVISION,660 MAINSTREAM DR,,Nashville,37228,Davidson,John Wright,FO,,4 Corrosion,JUN-13-2002,8 Case Closed,,Jeff Warren, ,,,,1 At Closure
5191372,1,MADISON AMOCO INC,206 N GALLATIN RD,,Madison,37115,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,MADISON AMOCO INC, ,,,,
5191372,2,Madison Amoco,306 North Gallatin Road,,Madison,37115,Davidson,Thomas Krinov,FO,tank closure,,,1a Completed Tank Closure,,,,,,,
5191373,1,SERVICE TRANSPORT,201 TERMINAL CT,,Nashville,37210,Davidson,John Wright,FO,,7 Unknown,JAN-04-1995,8 Case Closed,,Tim Keyt (son of W.C. Keyt), ,,,,1 At Closure
5191374,1,DON HARRIS AUTO SERVICE CTR,601 TWO MILE PKY,,Goodlettsville,37072,Davidson,John Wright,FO,,,,8 Case Closed,,DON HARRIS, ,,,,
5191374,2,B and S Auto Care,601 Rivergate Pkwy.,,Goodlettsville,37072,Davidson,Drew Storm,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,,,,,,
5191375,1,GRANNY WHITE AMOCO,2908 121TH AVENUE SO,,Nashville,37204,Davidson,,LT,Also Joe Scales 5-191254,5 Pipe Failure,JUL-20-1988,8 Case Closed,,JOSEPH E SCALES, ,,,,
5191381,1,6227 Dailys ,1277 Antiock Pike,,Nashville,37211,Davidson,Katrina Hunter,FO,Tank Closure (removal),,,1a Completed Tank Closure,,,,,,,
5191383,1,CONTRACTORS TILE CO INC,4401 MICHIGAN AVE,,Nashville,37209,Davidson,John Wright,FO,,7 Unknown,SEP-02-1998,8 Case Closed,,CONTRACTORS TILE CO, ,,,,1 At Closure
5191383,2,"Contractors Tile Co., Inc.",4401 Michigan Avenue,,Nashville,37209,Davidson,Katrina Hunter,FO,Suspected release - SIR,,,0a Suspected Release - Closed,,,,,,,
5191385,1,BELLE MEADE COUNTY CLUB,815 BELLE MEADE BLVD,,Nashville,37205,Davidson,John Wright,FO,,7 Unknown,FEB-16-1993,8 Case Closed,,BELLE MEADE COUNTY CLUB, , ,,SPATCO Environmental,1 At Closure
5191386,1,Chip's Quik Stop,7250 Whites Creek Pike,,Joelton,37080,Davidson,John Wright,FO,,7 Unknown,APR-29-1991,8 Case Closed,,W C Gifford Jr, ,,,,8 Other
5191386,2,Chip's Quik Stop,7250 Whites Creek Pike,,Joelton,37080,Davidson,Drew Storm,FO,"6,000gal Prem UST (4-A) water intrusion & TTT Fail",7 Unknown,SEP-29-2010,8 Case Closed,Gasoline,W C Gifford Jr,W Gifford,Michael Schmitz,Mr.,Petroleum Equipment Company,6 Tightness Test
5191389,1,SENTRY STEEL,1008 GALLATIN RD N,,Madison,37115,Davidson,John Wright,FO,,2 Overfill,FEB-21-1996,8 Case Closed,,SENTRY STEEL SERVICE, ,,,,1 At Closure
5191393,1,"AVIS RENT A CAR SYSTEM, INC.I",966 AIRPORT SERVICE ROAD,,Nashville,,Davidson,,Reimbursement,,,,8 Case Closed,,,,,,,
5191393,2,"AVIS RENT A CAR SYSTEM, INC.","966 Airport Service Road
Nashvi",,Nashville,37214,Davidson,Drew Storm,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,,,,,,
5191394,1,WALLBOARD AND SUPPLY CO INC,1619 Charlotte Avenue,,Nashville,37203,Davidson,Tonya Spence Casson,FO,Tank Closure in lieu of returning to Compliance,,,1a Completed Tank Closure,,WALLBOARD AND SUPPLY CO INC, ,,,,
5191395,1,COVINGTON SERVICE CENTER,5401 Charlotte Avenue,,Nashville,37209,Davidson,John Wright,FO,Requiring substandard tanks closed,,MAY-17-2007,1a Completed Tank Closure,,COVINGTON SERVICE CENTER, ,,,,8 Other
5191397,1,GREYHOUND LINES INC,200 8th Avenue South,,Nashville,37203,Davidson,Drew Storm,FO,UST Closure (Removal),,,1a Completed Tank Closure,,Convention Ctr Auth of  Metro. Gov. Nash/Dav Co.,Mike White,Johnathan Hopkins,Mr.,TTL,
5191398,1,GOODWIN & SONS CONCRETE CONTRACT,1214 BRICK CHURCH PIKE,,Nashville,37207,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,GOODWIN & SONS CONCR, ,,,,
5191400,1,SHUR BRITE CAR WASH,1713 WEST END AVE,,Nashville,37203,Davidson,John Wright,FO,,7 Unknown,AUG-08-1994,8 Case Closed,,SHUR BRITE CAR WASH, , ,,Petrotec,1 At Closure
5191402,1,"Heavy and Specialized Haulers, Inc.",190 Polk Avenue,,Nashville,37210,Davidson,Katrina Hunter,FO,Tank closure (removal),,,1a Completed Tank Closure,,,,,,,
5191403,1,TERRY'S QUICK STOP 2,3900 CLARKSVILLE HWY,,Nashville,37218,Davidson,John Wright,FO,,,,8 Case Closed,,TERRY KNEPPER, ,,,,
5191403,2,Jerry's Citgo,3900 Clarksville Highway,,Nashville,37218,Davidson,Katrina Hunter,FO,,,,0a Suspected Release - Closed,,,,,,,
