FACILITYID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID
272,CAPITOL CRANE COMPANY,Private,Other,,27 N ST SE,,Washington DC,,20003,DC,3,,,38.87462,-77.00816,Geocoded address,"MINKOFF COMPANY, INC",,No,No,No,No,No,No,No,No,No,No,No,,No,
5000146,BATEMAN & SON INC.,Private,Contractor,,2004 RHODE ISLAND AV NE,,Washington DC,,20018,DC,3,,,38.92952691,-76.97588803,Geocoded address,JOSEPH L. BATEMAN,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,90056.0
5000139,SAINT ANSELMS ABBEY,Private,School,,4501 S DAKOTA AV NE,,Washington DC,,20017,DC,3,,,38.94743701,-76.98428423,Geocoded address,SAINT ANSELMS ABBEY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,93006.0
5003123,BLACK ENTERTAINMENT T.V.,Private,Commercial,,"ONE BET PLAZA
1235 W ST NE",,Washington DC,,20018,DC,3,,,38.91875401,-76.988847,Geocoded address,BLACK ENTERTAINMENT T.V.,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
5000147,BRINKS INC.,Private,Commercial,,2120 W VIRGINIA AV NE,,Washington DC,,20002,DC,3,,,38.91616788,-76.97988854,Geocoded address,BRINKS INC.,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000154,BRITISH EMBASSY,Private,Other,,3100 MASSACHUSETTS AV NW,,Washington DC,,20008,DC,3,,,38.91963643,-77.06247269,Geocoded address,BRITISH EMBASSY - 302133836,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2003081.0
2000223,C&P TELEPHONE OF WASHINGTON,Private,Utility,,930 H ST NW (11120),,Washington DC,,20001,DC,3,,,38.8998,-77.02462,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90074.0
2000230,DUPONT C.O. (19102),Private,Utility,,"1401 R ST NW
1700 14TH ST NW - FORMER",,Washington DC,,20009,DC,3,,,38.91276289,-77.03222833,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,95008.0
2000236,SOUTHWEST C.O. (13117),Private,Utility,,30 E ST SW,,Washington DC,,20024,DC,3,,,38.8829111,-77.01028749,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
2000238,GEORGETOWN C.P. (12330),Private,Utility,,1045 WISCONSIN AV NW,,Washington DC,,20007,DC,3,,,38.9040019,-77.06198758,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
4000216,GEORGIA C.P. (12230),Private,Utility,,926 GALLATIN ST NW,,Washington DC,,20011,DC,3,,,38.95162313,-77.02677608,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,
4000217,COIN CENTER (12214),Private,Utility,,6400 CHILLUM PL NW,,Washington DC,,20012,DC,3,,,38.96754138,-77.01270618,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90038.0
5000218,BROOKLAND C.P. (12205),Private,Utility,,1039 LAWRENCE ST NE,,Washington DC,,20017,DC,3,,,38.93118254,-76.99122182,,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,93015.0
7000235,ANACOSTIA C.O. (14203),Private,Utility,,2815 N ST SE,,Washington DC,,20019,DC,3,,,38.87430589,-76.96709068,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
8000233,CONGRESS HEIGHTS C.O. (14210),Private,Utility,,3726 M L KING JR AV SE,,Washington DC,,20032,DC,3,,,38.8366398,-77.00655741,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,91002.0
2000964,"BELL ATLANTIC - WASHINGTON, DC",Private,Utility,,45 L ST NE,,Washington DC,,20002,DC,3,,,38.90341618,-77.00718875,Geocoded address,VERIZON WASHINGTON DC INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
1000229,"BELL ATLANTIC - WASHINGTON, DC",Private,Utility,,1711 FLORIDA AV NW (19609),,Washington DC,,20009,DC,3,,,38.91846973,-77.0399244,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,91076.0
5003597,MCI D/B/A VERIZON BUSINESS,Private,Utility,,1845 4TH ST NE,,Washington DC,,20002,DC,3,,,38.91510662,-77.00011358,,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2000042.0
3000219,WOODLEY C.P. (12201),Private,Utility,,4268 WISCONSIN AV NW,,Washington DC,,20016,DC,3,,,38.94444719,-77.07834197,,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
5000240,C&P V STREET GARAGE GLC (12243),Private,Utility,,935 V ST NE,,Washington DC,,20018,DC,3,,,38.91702417,-76.99249739,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93005.0
4000237,C&P TELEPHONE OF WASHINGTON,Private,Utility,,1350 BUCHANAN ST NW (12651),,Washington DC,,20011,DC,3,,,38.94595889,-77.0318494,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2015001.0
6000232,BENNING C.O. (14312),Private,Utility,,580 23RD PL NE,,Washington DC,,20002,DC,3,,,38.89811423,-76.97347767,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
6000234,LINCOLN C.O.(14207),Private,Utility,,120 7TH ST NE,,Washington DC,,20002,DC,3,,,38.89156,-76.99651,,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
6000239,SOUTHEAST C. O. (12237),Private,Utility,,"1325 MARION RD SE
1325 GOOD HOPE RD SE",,Washington DC,,20017,DC,3,,,38.86674932,-76.98627459,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
4000528,MCI D/B/A/VERIZON BUSINESS,Private,Utility,,120 INGRAHAM ST NE,,Washington DC,,20011,DC,3,,,38.95468542,-77.00397209,,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
8000215,2600 BARRY RD. S.E. (12234),Private,Utility,,2600 BARRY RD SE,,Washington DC,,20020,DC,3,,,38.86193801,-77.00031144,Geocoded address,VERIZON WASHINGTON DC INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,92015.0
5000176,CAPUCHIN COLLEGE,Private,School,,4121 HAREWOOD RD NE,,Washington DC,,20017,DC,3,,,38.94041158,-77.00218375,Geocoded address,CAPUCHIN COLLEGE,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
4000164,CATHOLIC UNIVERSITY OF AMERICA,Private,School,,620 MICHIGAN AV NE,,Washington DC,,20064,DC,3,,,38.93282173,-76.99786192,,CATHOLIC UNIVERSITY OF AMERICA,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2019013.0
2003135,CHARLES & BENJAMIN JAMISON,Private,Other,,1253 9TH ST NW,,Washington DC,,20001,DC,3,,,38.90707,-77.02396,Geocoded address,CHARLES & BENJAMIN JAMISON,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2003091.0
5000245,CHAS H. TOMPKINS CO.,Private,Commercial,,2220 25TH PL NE,,Washington DC,,20018,DC,3,,,38.92062867,-76.97111191,Geocoded address,CHAS H. TOMPKINS CO.,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2009012.0
2000213,CHEVRON USA INC.,Private,Retail fuel sales (non-marina),,501 4TH ST SW,,Washington DC,,20024,DC,3,,,38.8828057,-77.01782163,Geocoded address,CHEVRON USA INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2014011.0
4000210,CHEVRON USA INC.,Private,Retail fuel sales (non-marina),,4531 14TH ST NW,,Washington DC,,20011,DC,3,,,38.94566,-77.03271,Geocoded address,CHEVRON USA INC.,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90061.0
2000212,FORMER CHEVRON USA INC.,Private,Retail fuel sales (non-marina),,801 9TH ST NW,,Washington DC,,20001,DC,3,,,38.90030524,-77.02361376,Geocoded address,CHEVRON USA INC. (#89010),,No,No,No,No,No,No,No,No,No,No,No,,Yes,89010.0
5000177,CHILDRENS NATIONAL HEALTH SYSTEM,Private,Hospital (or other medical),,111 MICHIGAN AV NW,,Washington DC,,20010,DC,3,,,38.92767927,-77.01375155,Geocoded address,CHILDRENS NATIONAL MEDICAL CENTER,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2006012.0
1000169,CITADEL CORP,Private,Other,,1727 KALORAMA RD NW,,Washington DC,,20009,DC,3,,,38.92058,-77.04022,Geocoded address,CITADEL CORP.,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000174,CKG-S INVESTMENTS,Private,Other,,247 CARROLL ST NW,,Washington DC,,20012,DC,3,,,38.97516329,-77.0153916,Geocoded address,CKG-S INVESTMENTS,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2010003.0
6000166,CLEMENT B. SMITH,Private,Other,,215 WARREN ST NE,,Washington DC,,20002,DC,3,,,38.89259079,-76.98624772,Geocoded address,CLEMENT B. SMITH,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000178,COLONIAL STORAGE CO.,Private,Commercial,,6025 KANSAS AV NW,,Washington DC,,20011,DC,3,,,38.96232013,-77.00859324,Geocoded address,COLONIAL STORAGE CO.,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000195,COLUMBIA HOSPITAL FOR WOMEN,Private,Hospital (or other medical),,2425 L ST NW,,Washington DC,,20037,DC,3,,,38.9042384,-77.05235287,Geocoded address,COLUMBIA HOSPITAL FOR WOMEN,,No,No,No,No,No,No,No,No,No,No,No,,Yes,96090.0
3000163,CENTER CATHEDRAL MANSION,Private,Residential,,3000 CONNECTICUT AV NW,,Washington DC,,20008,DC,3,,,38.92989246,-77.05556543,Geocoded address,COLUMBIA REALTY VENTURE,,Yes,No,No,No,No,No,No,Yes,No,No,No,FR Not Listed,Yes,87014.0
2000740,COMMERCIAL,Private,Commercial,,1301 K ST NW,,Washington DC,,20005,DC,3,,,38.90292588,-77.03052064,Geocoded address,COMMERCIAL (#89004-CL),,No,No,No,No,No,No,No,No,No,No,No,,Yes,89004.0
6000193,BENNINGS YARD,Private,Other,,D & 32ND ST SE,,Washington DC,,20019,DC,3,,,38.88438,-76.9614,Geocoded address,CONRAIL,,No,No,No,No,No,No,No,No,No,No,No,,No,
1000181,WONDER PLAZA,Private,Commercial,,2301 GEORGIA AV NW,,Washington DC,,20001,DC,3,,,38.92057871,-77.02164697,Geocoded address,DOUGLAS DEVELOPMENT,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90073.0
7000269,CRANE SERV. CO INC.,Private,Contractor,,1415 KENILWORTH AV NE,,Washington DC,,20019,DC,3,,,38.90826032,-76.93649167,Geocoded address,CRANE SERV. CO INC.,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000271,D.C. MATERIALS CO.,Private,Industrial,,25 POTOMAC AV SE,,Washington DC,,20003,DC,3,,,38.87064374,-77.00795671,Geocoded address,DC MATERIALS CO.,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2017009.0
5002211,FORMER CAPITOL TRANSIT COMPANY,Private,Commercial,,900 MICHIGAN AV NE,,Washington DC,,20017,DC,3,,,38.93534969,-76.99401702,Geocoded address,DC TRANSIT CO,,No,No,No,No,No,No,No,No,No,No,No,,Yes,99064.0
5001936,(Not Listed),Private,Other,,1201 BRENTWOOD RD NE,,Washington DC,,20018,DC,3,,,38.92020752,-76.98993419,Geocoded address,DELBE REALTY,,No,No,No,No,No,No,No,No,No,No,No,,No,
7000743,DELBY REAL ESTATE/CELIA PROP,Private,Other,,3916-18 MINNESOTA AV NE,,Washington DC,,20019,DC,3,,,38.89344,-76.95043,Geocoded address,SUN REFINING MARKETING (#89002),,No,No,No,No,No,No,No,No,No,No,No,,Yes,89005.0
5000308,ODONNELL CONSTRUCTION COMPANY,Private,Contractor,,2800 8TH ST NE,,Washington DC,,20017,DC,3,,,38.92599165,-76.99535002,Geocoded address,ODONNELL CONSTRUCTION COMPANY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
4000313,"FORMER DISTRICT GLASS CO., INC.",Private,Commercial,,7058 SPRING PL NW,,Washington DC,,20012,DC,3,,,38.97615179,-77.01941576,Geocoded address,"DISTRICT GLASS CO., INC.",,No,No,No,No,No,No,No,No,No,No,No,,Yes,2002042.0
5000739,ALLIED INTERNATIONAL,Private,Other,,2920 V ST NE,,Washington DC,,20018,DC,3,,,38.91929549,-76.96627633,Geocoded address,DIXIE PLYWOOD CO (#89015-CL),,No,No,No,No,No,No,No,No,No,No,No,,Yes,89015.0
5000270,DOMINICAN HOUSE OF STUDIES,Private,Other,,487 MICHIGAN AV NE,,Washington DC,,20017,DC,3,,,38.93131727,-76.99856676,Geocoded address,DOMINICAN HOUSE OF STUDIES,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
6000516,LTD PARTNERSHIP ASSOCIATES,Private,Other,,2100 M L KING JR AV SE,,Washington DC,,20020,DC,3,,,38.86535189,-76.98922845,Geocoded address,DONOHOE CONSTRUCTION CO,,No,No,No,No,No,No,No,No,No,No,No,,No,
1003097,B. P. OIL COMPANY,Private,Retail fuel sales (non-marina),,1448 U ST NW,,Washington DC,,20009,DC,3,,,38.91699,-77.03421,Geocoded address,DRUID A. CLODFELTER,,No,No,No,No,No,No,No,No,No,No,No,,No,
4003941,DUPONT LAUNDRY,Private,Commercial,,1 KENNEDY ST NW,,Washington DC,,20011,DC,3,,,38.95688418,-77.00976063,Geocoded address,DUPONT LAUNDRY,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000547,NATIONAL CREATIVE GROWTH IND INC,Private,Commercial,,500 EMERSON ST NE,,Washington DC,,20011,DC,3,,,38.95039728,-76.99879791,Geocoded address,NATIONAL CREATIVE GROWTH IND INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2004021.0
5000318,UNIVERSAL APPLIANCE CO.,Private,Industrial,,3194 BLADENSBURG RD NE,,Washington DC,,20018,DC,3,,,38.93058281,-76.95917373,Geocoded address,EAST BLADER INVESTORS PARTNESHIP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90083.0
4000375,GEORGIA AVENUE EXXON,Private,Retail fuel sales (non-marina),,5230 GEORGIA AV NW,,Washington DC,,20011,DC,3,,,38.95377321,-77.02796069,Geocoded address,EXXON - PRESTON LOGAN,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2019001.0
5000378,"FRENCH'S PETROLEUM SERVICE,INC.",Private,Auto dealership/auto maintenance & repair,,2838 BLADENSBURG RD NE,,Washington DC,,20018,DC,3,,,38.92682137,-76.96346449,Geocoded address,"FRENCH'S PETROLEUM SERVICE,INC.",,No,No,No,No,No,No,No,No,No,No,No,,No,
1003128,GENERAL BAKING COMPANY,Private,Commercial,,2210 9TH ST NW,,Washington DC,,20001,DC,3,,,38.91889,-77.02388,Geocoded address,GENERAL BAKING CO,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000532,TERRA COTTA READY MIX PLANT,Private,Industrial,,611 EMERSON ST NE,,Washington DC,,20017,DC,3,,,38.94986336,-76.99885503,Geocoded address,GENSTAR CO (#88013-CL),,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,88013.0
2000764,ANACOSTIA READY MIX PLANT,Private,Industrial,,1522 S CAPITOL ST SE,,Washington DC,,20003,DC,3,,,38.87048,-77.00906,Geocoded address,GENSTAR STONE PRODUCTS CO,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
9000594,LOT 813 SQUARE 1321 - ABANDON GAS STATION,Private,Unknown,,CANAL RD NW,,Washington DC,,20007,DC,3,,,38.91413306,-77.09790438,Geocoded address,GEORGETOWN UNIVERSITY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2004004.0
2002600,GIBSON'S GARAGE,Private,Auto dealership/auto maintenance & repair,,REAR 423 K ST NW,,Washington DC,,20001,DC,3,,,38.8915,-76.99686,Geocoded address,GIBSON'S GARAGE,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000393,GLENWOOD CEMENTERY,Private,Commercial,,2219 LINCOLN RD NE,,Washington DC,,20002,DC,3,,,38.92001877,-77.00652967,Geocoded address,GLENWOOD CEMENTERY,"TERRANCE  ADKINS,",Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
3010016,GOVERNMENT OF BELGIUM,Private,Other,,2300 FOXHALL RD NW,,Washington DC,,20007,DC,3,,,38.92076947,-77.09011147,,GOVERNMENT OF BELGIUM,,No,No,No,No,No,No,No,No,No,No,No,,No,
2002590,UNKNOWN,Private,Other,,90 K ST NE,,Washington DC,,20002,DC,3,,,38.9028841,-77.00658771,Geocoded address,GREYHOUND LINES INCORPORATED,,No,No,No,No,No,No,No,No,No,No,No,,No,
2005529,UNKNOWN,Private,Other,,101 MASSACHUSETTS AV NW,,Washington DC,,20001,DC,3,,,38.89897,-77.0125,Geocoded address,GULF CO MID-ATLANTIC DISTRICT,,No,No,No,No,No,No,No,No,No,No,No,,No,
4001664,CHEVRON SITE 30-2507,Private,Retail fuel sales (non-marina),,235 CARROLL ST NW,,Washington DC,,20012,DC,3,,,38.97512438,-77.01537532,Geocoded address,CHERVON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2004009.0
2003146,GULF STATION,Private,Retail fuel sales (non-marina),,2137 VIRGINIA AV NW,,Washington DC,,20037,DC,3,,,38.89633,-77.04848,Geocoded address,GULF STATION,,No,No,No,No,No,No,No,No,No,No,No,,No,
1003100,E. B. ADAMS,Private,Other,,1612 U ST NW,,Washington DC,,20009,DC,3,,,38.91673512,-77.0376357,Geocoded address,H. B. LEARY TRUSTS V/W,,Yes,No,No,No,No,No,No,Yes,No,No,Yes,,Yes,93063.0
2003968,UNKNOWN,Private,Other,,24 H ST NE,,Washington DC,,20002,DC,3,,,38.90028,-77.00854,Geocoded address,HARRY PORETESKY,,No,No,No,No,No,No,No,No,No,No,No,,No,
3005009,HECHINGER ENTERPRISES,Private,Commercial,,4555 WISCONSIN AV NW,,Washington DC,,20016,DC,3,,,38.94938868,-77.08007137,Geocoded address,HECHINGER ENTERPRISES,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000073,HECHINGER HOME PROJECT CENTER #7,Private,Commercial,,4500 WISCONSIN AV NW,,Washington DC,,20016,DC,3,,,38.94852878,-77.08055018,Geocoded address,HECHINGER ENTERPRISES,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
5000498,HECHINGER ENTERPRISES,Private,Commercial,,911 BLADENSBURG RD NE,,Washington DC,,20002,DC,3,,,38.90181,-76.98217,Geocoded address,HECHINGER ENTERPRISES,,No,No,No,No,No,No,No,No,No,No,No,,No,
7002252,HOLY TRINITY CHURCH,Private,Other,,4628 MINNESOTA AV NE,,Washington DC,,20019,DC,3,,,38.90686258,-76.93615141,Geocoded address,HOLY TRINITY CHURCH,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000265,SARATOGA APARTMENTS,Private,Residential,,4601 CONNECTICUT AV NW,,Washington DC,,20008,DC,3,,,38.94993394,-77.06626698,Geocoded address,HORNING BROTHERS,,No,No,No,No,No,No,No,No,No,No,No,,No,
1000837,HU - CANCER RESEARCH CENTER,Private,Hospital (or other medical),,"2045 GEORGIA AV NW
2041 GEORGIA AV (REAR OF HOSPITA",,Washington DC,,20001,DC,3,,,38.91207,-77.01902,,HOWARD UNIVERSITY,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2024007.0
1010023,HUH - TOWER BUILDING,Private,Hospital (or other medical),,2041 GEORGIA AV NW,,Washington DC,,20060,DC,3,,,,,,HOWARD UNIVERSITY,,No,No,No,No,No,No,No,No,No,No,No,,No,
5002402,HTS RISK MANAGEMENT SERVICE,Private,Other,,645 TAYLOR ST NE,,Washington DC,,20017,DC,3,,,38.94020401,-76.99678655,Geocoded address,HTS RISK MANAGEMENT SERVICE,,No,No,No,No,No,No,No,No,No,No,No,,No,
2002548,J. J. FISTERS GARAGE,Private,Other,,1741 JOHNSON AV NW,,Washington DC,,20009,DC,3,,,38.91345255,-77.03293984,Geocoded address,J. J. FISTERS GARAGE,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000513,WMI NORTHEAST TRANSFER STATION,Private,Industrial,,2160 QUEENS CHAPEL RD NE,,Washington DC,,20018,DC,3,,,38.92007373,-76.97366208,Geocoded address,J.B.KENDALL COMPANY.,,No,No,No,No,No,No,No,No,No,No,No,,Yes,93070.0
5000518,CABECO INC (FORMER SAFEWAY),Private,Commercial,,"1801 FENWICK ST NE 
1401 OKIE ST NE",,Washington DC,,20002,DC,3,,,38.91442866,-76.98412869,Geocoded address,MARLIN SALES CORPORATION,,No,No,No,No,No,No,No,No,No,No,No,,Yes,96010.0
5000514,JAMES H. SATTERTHWAITE,Private,Other,,1535 NEW JERSEY AV NW,,Washington DC,,20001,DC,3,,,38.91074392,-77.01632799,Geocoded address,JAMES H. SATTERTHWAITE,,No,No,No,No,No,No,No,No,No,No,No,,No,
1003900,FRENCH AMBASSADOR RESIDENCE,Private,Residential,,2221 KALORAMA RD NW,,Washington DC,,20008,DC,3,,,38.91822556,-77.05071141,Geocoded address,FRENCH AMBASSADOR RESIDENCE,,Yes,No,No,No,No,No,No,Yes,No,No,No,Other Finance,Yes,2005004.0
1002537,JOSEPH GATTI,Private,Other,,1447 IRVING ST NW,,Washington DC,,20010,DC,3,,,38.92871,-77.03407,Geocoded address,JOSEPH GATTI,,No,No,No,No,No,No,No,No,No,No,No,,No,
1003888,KALORAMA COMPANY,Private,Other,,1700 KALORAMA RD NW,,Washington DC,,20009,DC,3,,,38.92091576,-77.03912121,Geocoded address,KALORAMA CO,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000758,KINGS TOWING,Private,Commercial,,2201 CHANNING ST NE,,Washington DC,,20018,DC,3,,,38.92215057,-76.97391017,Geocoded address,KINGS TOWING (#88001),,No,No,No,No,No,No,No,No,No,No,No,,Yes,2019020.0
4000525,GOODYEAR ASC.- 0230,Private,Other,,5013 GEORGIA AV NW,,Washington DC,,20011,DC,3,,,38.95144833,-77.02693603,Geocoded address,LEASE CONTROLLED GOODYEAR TIRE.,,No,No,No,No,No,No,No,No,No,No,No,,Yes,89038.0
2000406,GOODYEAR ASC.--0264,Private,Commercial,,1112 HALF ST SW,,Washington DC,,20024,DC,3,,,38.87818,-77.01063,Geocoded address,LEASED CONTROLLED BY.GOODYEAR,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90082.0
4000104,AMOCO OIL CO,Private,Retail fuel sales (non-marina),,4100 KANSAS AV NW,,Washington DC,,20011,DC,3,,,38.9410333,-77.02700257,Geocoded address,LEON EUGENE SHELL,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90044.0
5003089,INDUSTRIAL MART BUILDING #3,Private,Other,,951 V ST NE,,Washington DC,,20018,DC,3,,,38.91712374,-76.99160546,Geocoded address,SHAPIRO AND MAYER,,No,No,No,No,No,No,No,No,No,No,No,,No,
5001954,WAREHOUSE,Private,Commercial,,931 BRENTWOOD RD NE,,Washington DC,,20018,DC,3,,,38.91764007,-76.9926425,Geocoded address,SHAPIRO AND MAYER,,No,No,No,No,No,No,No,No,No,No,No,,No,
4004058,LITTLE SISTERS OF THE POOR,Private,Residential,,4200 HAREWOOD RD NE,,Washington DC,,20017,DC,3,,,38.93870357,-77.00599976,Geocoded address,LITTLE SISTERS OF THE POOR,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2005053.0
2003960,LORD BALTIMORE FILLING STATION,Private,Retail fuel sales (non-marina),,239 MASSACHUSETTS AV NW,,Washington DC,,20001,DC,3,,,38.8994,-77.01374,Geocoded address,LORD BALTIMORE FILLING STATION,,No,No,No,No,No,No,No,No,No,No,No,,No,
1002334,LOUIS ALTEMMS,Private,Other,,3201 MT PLEASANT & LAMONT ST NW,,Washington DC,,20010,DC,3,,,38.93114,-77.03825,Geocoded address,LOUIS ALTEMMS,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000183,LYON CONKLIN & CO. INC.,Private,Other,,711 EDGEWOOD ST NE,,Washington DC,,20017,DC,3,,,38.92501424,-76.99528781,Geocoded address,LYON CONKLIN & CO. INC.,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000536,HILLWOOD ESTATE MUSEUM & GARDENS,Private,Commercial,,4155 LINNEAN AV NW,,Washington DC,,20008,DC,3,,,38.94363392,-77.05261735,,HILLWOOD ESTATE MUSEUM & GARDENS,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,91028.0
7003938,MAYFAIR MANSIONS INCORPORATED,Private,Other,,KENILWORTH AV & JAY ST NE,,Washington DC,,20019,DC,3,,,38.90157363,-76.94509039,Geocoded address,MAYFAIR MANSIONS INCORPORATED,,No,No,No,No,No,No,No,No,No,No,No,,No,
2003972,MEYER HERSON,Private,Other,,62 H ST NE,,Washington DC,,20002,DC,3,,,38.90028,-77.00753,Geocoded address,MEYER HERSON,,No,No,No,No,No,No,No,No,No,No,No,,No,
5001898,MOUNT OLIVET CEMETERY,Private,Commercial,,1300 BLADENSBURG RD NE,,Washington DC,,20002,DC,3,,,38.90821,-76.97885186,Geocoded address,THE CATHOLIC CEMETERIES OF THE,,No,No,No,No,No,No,No,No,No,No,No,,Yes,97046.0
5000531,A&A AUTO PARTS,Private,Commercial,,1824 BLADENSBURG RD NE,,Washington DC,,20002,DC,3,,,38.91487413,-76.97494678,Geocoded address,A&A AUTO PARTS,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000012,ACME GARAGE DOOR INC.,Private,Contractor,,1207 INGRAHAM ST NW (REAR),,Washington DC,,20011,DC,3,,,38.95428619,-77.02816094,Geocoded address,MYRNA M. HALL,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2005044.0
2000552,NATIONAL EDUCATION ASSOCIATION,Private,Commercial,,"1201 16TH ST NW
1525 M ST NW",,Washington DC,,20036,DC,3,,,38.90609079,-77.0361811,,NATIONAL EDUCATION ASSOCIATION,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000551,NBC/WRC-TV.,Private,Industrial,,4001 NEBRASKA AV NW,,Washington DC,,20016,DC,3,,,38.94027281,-77.08076025,Geocoded address,NBC/WRC-TV.,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
